Dep. Variable:,inc_activity,R-squared:,0.894
Model:,OLS,Adj. R-squared:,0.894
Method:,Least Squares,F-statistic:,2276.0
Date:,"Mon, 19 Jun 2023",Prob (F-statistic):,0.0
Time:,08:49:03,Log-Likelihood:,-14493.0
No. Observations:,811,AIC:,28990.0
Df Residuals:,807,BIC:,29010.0
Df Model:,3,,
Covariance Type:,nonrobust,,

,coef,std err,t,P>|t|,[0.025,0.975]
const,399400.0,531000.0,0.752,0.452,-643000.0,1440000.0
inc_grants,-0.8856,0.025,-36.128,0.0,-0.934,-0.837
inc_donations,-0.6659,0.016,-40.905,0.0,-0.698,-0.634
total_costs,0.8318,0.011,78.937,0.0,0.811,0.853

Omnibus:,1348.637,Durbin-Watson:,1.424
Prob(Omnibus):,0.0,Jarque-Bera (JB):,1298161.546
Skew:,10.026,Prob(JB):,0.0
Kurtosis:,197.973,Cond. No.,106000000.0

